,Sno,MovieName,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
482,483,Don,Farhan Akhtar,,,171,2006,7.1,
483,484,Koi... Mil Gaya,Rakesh Roshan,,,171,2003,7.1,
484,485,Micmacs,Jean-Pierre Jeunet,,,105,2009,7.1,62
485,486,Fanaa,Kunal Kohli,,,168,2006,7.1,
486,487,Marighella,Wagner Moura,,,155,2019,7.1,
487,488,Gabbar Is Back,Radha Krishna Jagarlamudi,,,128,2015,7.1,
488,489,Sisu,Jalmari Helander,,,91,2022,7.0,70
489,490,Shazam!,David F. Sandberg,,,132,2019,7.0,71
490,491,Transformers,Michael Bay,,,144,2007,7.0,61
491,492,The Unbearable Weight of Massive Talent,Tom Gormican,,,107,2022,7.0,68
492,493,Fast & Furious 6,Justin Lin,,,130,2013,7.0,61
493,494,The Northman,Robert Eggers,,,137,2022,7.0,82
494,495,Jack Reacher,Christopher McQuarrie,,,130,2012,7.0,50
495,496,Thor,Kenneth Branagh,,,115,2011,7.0,57
496,497,Underworld,Len Wiseman,,,121,2003,7.0,42
497,498,Independence Day,Roland Emmerich,,,145,1996,7.0,59
498,499,Ant-Man and the Wasp,Peyton Reed,,,118,2018,7.0,70
499,500,Constantine,Francis Lawrence,,,121,2005,7.0,50
500,501,Super 8,J.J. Abrams,,,112,2011,7.0,72
501,502,Cloverfield,Matt Reeves,,,85,2008,7.0,64
502,503,World War Z,Marc Forster,,,116,2013,7.0,63
503,504,Death Proof,Quentin Tarantino,,,127,2007,7.0,
504,505,Star Trek Beyond,Justin Lin,,,122,2016,7.0,68
505,506,Greyhound,Aaron Schneider,,,91,2020,7.0,64
506,507,Rush Hour,Brett Ratner,,,98,1998,7.0,60
507,508,Oblivion,Joseph Kosinski,,,124,2013,7.0,54
508,509,Stargate,Roland Emmerich,,,116,1994,7.0,42
509,510,The Italian Job,F. Gary Gray,,,111,2003,7.0,68
510,511,Smokey and the Bandit,Hal Needham,,,96,1977,7.0,50
511,512,Spy,Paul Feig,,,120,2015,7.0,75
512,513,Highlander,Russell Mulcahy,,,116,1986,7.0,24
513,514,Sicario: Day of the Soldado,Stefano Sollima,,,122,2018,7.0,61
514,515,Pitch Black,David Twohy,,,109,2000,7.0,49
515,516,RED,Robert Schwentke,,,111,2010,7.0,60
516,517,Logan Lucky,Steven Soderbergh,,,118,2017,7.0,78
517,518,Den of Thieves,Christian Gudegast,,,140,2018,7.0,49
518,519,Unleashed,Louis Leterrier,,,103,2005,7.0,58
519,520,22 Jump Street,Phil Lord,Christopher Miller,,112,2014,7.0,71
520,521,Brotherhood of the Wolf,Christophe Gans,,,142,2001,7.0,57
521,522,Public Enemies,Michael Mann,,,140,2009,7.0,70
522,523,Bronson,Nicolas Winding Refn,,,92,2008,7.0,71
523,524,The Foreigner,Martin Campbell,,,113,2017,7.0,55
524,525,Chip 'n Dale: Rescue Rangers,Akiva Schaffer,,,97,2022,7.0,66
525,526,Rambo,Sylvester Stallone,,,92,2008,7.0,46
526,527,The Kingdom,Peter Berg,,,110,2007,7.0,56
527,528,Chronicle,Josh Trank,,,84,2012,7.0,69
528,529,Fallen,Gregory Hoblit,,,124,1998,7.0,
529,530,Body of Lies,Ridley Scott,,,128,2008,7.0,57
530,531,The Last Boy Scout,Tony Scott,,,105,1991,7.0,52
531,532,Hellboy II: The Golden Army,Guillermo del Toro,,,120,2008,7.0,78
532,533,Thunderbolt and Lightfoot,Michael Cimino,,,115,1974,7.0,62
533,534,9,Shane Acker,,,79,2009,7.0,60
534,535,A Most Violent Year,J.C. Chandor,,,125,2014,7.0,79
535,536,Ip Man 4: The Finale,Wilson Yip,,,107,2019,7.0,62
536,537,The Towering Inferno,John Guillermin,,,165,1974,7.0,69
537,538,The Spy Who Loved Me,Lewis Gilbert,,,125,1977,7.0,55
538,539,Filth,Jon S. Baird,,,97,2013,7.0,56
539,540,Maverick,Richard Donner,,,127,1994,7.0,62
540,541,Spy Game,Tony Scott,,,126,2001,7.0,63
541,542,Taxi,Gérard Pirès,,,89,1998,7.0,
542,543,Ichi the Killer,Takashi Miike,,,129,2001,7.0,55
543,544,The War of the Worlds,Byron Haskin,,,85,1953,7.0,78
544,545,An Action Hero,Anirudh Iyer,,,130,2022,7.0,
545,546,Juice,Ernest R. Dickerson,,,95,1992,7.0,60
546,547,Son of Rambow,Garth Jennings,,,96,2007,7.0,66
547,548,Ip Man 3,Wilson Yip,,,105,2015,7.0,57
548,549,Dragon: The Bruce Lee Story,Rob Cohen,,,120,1993,7.0,69
549,550,Curse of the Golden Flower,Yimou Zhang,,,114,2006,7.0,70
