,Sno,MovieName,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Ratings
1510,"1,511",Bad Company,Joel Schumacher,,,116,Action,Comedy,Thriller,5.6
1511,"1,512",12 Rounds,Renny Harlin,,,108,Action,Crime,Thriller,5.6
1512,"1,513",Sleepless,Baran bo Odar,,,95,Action,Thriller,,5.6
1513,"1,514",Metro,Thomas Carter,,,117,Action,Comedy,Crime,5.6
1514,"1,515",Bang Bang,Siddharth Anand,,,153,Action,Adventure,Comedy,5.6
1515,"1,516",Once There Was a Tiger,Mathur Goswami,Kabir Khan,,132,Action,Adventure,Romance,5.6
1516,"1,517",Baywatch,Seth Gordon,,,116,Action,Comedy,Crime,5.5
1517,"1,518",Shotgun Wedding,Jason Moore,,,101,Action,Comedy,Romance,5.5
1518,"1,519",Infinite,Antoine Fuqua,,,106,Action,Sci-Fi,Thriller,5.5
1519,"1,520",Willy's Wonderland,Kevin Lewis,,,88,Action,Comedy,Horror,5.5
1520,"1,521",Spiderhead,Joseph Kosinski,,,106,Action,Crime,Drama,5.5
1521,"1,522",The Core,Jon Amiel,,,135,Action,Adventure,Sci-Fi,5.5
1522,"1,523",George of the Jungle,Sam Weisman,,,92,Action,Adventure,Comedy,5.5
1523,"1,524",Green Lantern,Martin Campbell,,,114,Action,Adventure,Sci-Fi,5.5
1524,"1,525",The Cloverfield Paradox,Julius Onah,,,102,Action,Adventure,Horror,5.5
1525,"1,526",The Scorpion King,Chuck Russell,,,92,Action,Adventure,Fantasy,5.5
1526,"1,527",Sweet Girl,Brian Andrew Mendoza,,,110,Action,Drama,Thriller,5.5
1527,"1,528",Snakes on a Plane,David R. Ellis,,,105,Action,Adventure,Crime,5.5
1528,"1,529",Pompeii,Paul W.S. Anderson,,,105,Action,Adventure,Drama,5.5
1529,"1,530",Resident Evil: The Final Chapter,Paul W.S. Anderson,,,107,Action,Horror,Sci-Fi,5.5
1530,"1,531",Virtuosity,Brett Leonard,,,106,Action,Crime,Sci-Fi,5.5
1531,"1,532",Seventh Son,Sergei Bodrov,,,102,Action,Adventure,Fantasy,5.5
1532,"1,533",Your Highness,David Gordon Green,,,102,Action,Adventure,Comedy,5.5
1533,"1,534",Volcano,Mick Jackson,,,104,Action,Drama,Sci-Fi,5.5
1534,"1,535",Mortdecai,David Koepp,,,107,Action,Adventure,Comedy,5.5
