,MovieName,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,GrossCollection,Popularity,Certification
60,Ford v Ferrari,Matt Damon,Christian Bale,Jon Bernthal,420225,Action,Biography,Drama,117.62M,344,PG-13
61,The Terminator,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,886453,Action,Sci-Fi,,38.40M,360,R
62,Logan,Hugh Jackman,Patrick Stewart,Dafne Keen,788776,Action,Drama,Sci-Fi,226.28M,650,R
63,How to Train Your Dragon,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,762429,Animation,Action,Adventure,217.58M,748,PG
64,Rush,Daniel Brühl,Chris Hemsworth,Olivia Wilde,491662,Action,Biography,Drama,26.95M,937,R
65,"Lock, Stock and Two Smoking Barrels",Jason Flemyng,Dexter Fletcher,Nick Moran,595786,Action,Comedy,Crime,3.90M,"1,009",R
66,Warrior,Tom Hardy,Nick Nolte,Joel Edgerton,482193,Action,Drama,Sport,13.66M,"1,321",PG-13
67,The Iron Giant,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,209648,Animation,Action,Adventure,23.16M,"1,939",PG
68,Neon Genesis Evangelion: The End of Evangelion,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,58698,Animation,Action,Drama,,"4,960",TV-MA
69,The General,Buster Keaton,Marion Mack,Glen Cavender,93979,Action,Adventure,Comedy,1.03M,,Passed
70,Bajrangi Bhaijaan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,92052,Action,Adventure,Comedy,8.18M,,Not Rated
71,Sholay,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,57121,Action,Adventure,Comedy,,,Not Rated
72,The Hidden Fortress,Toshirô Mifune,Misa Uehara,Minoru Chiaki,40497,Action,Adventure,Drama,,,Not Rated
73,White Heat,James Cagney,Virginia Mayo,Edmond O'Brien,34314,Action,Crime,Drama,,,Not Rated
74,A Wednesday,Anupam Kher,Naseeruddin Shah,Veerendra Saxena,80265,Action,Crime,Drama,,,Not Rated
75,Sarfarosh,Ali Khan,Akhilendra Mishra,Makrand Deshpande,26243,Action,Drama,Thriller,,,Not Rated
76,Major,Adivi Sesh,Prakash Raj,Revathi,30517,Action,Biography,Drama,,,UA
77,Hera Pheri,Akshay Kumar,Suniel Shetty,Paresh Rawal,69495,Action,Comedy,Crime,,,Not Rated
78,Thuppakki,Joseph Vijay,Kajal Aggarwal,Vidyut Jammwal,35934,Action,Thriller,,,,Not Rated
